parent_id,parent_name,primary_muscles,secondary_muscles,movement_pattern,variant_id,variant_name,equipment
bench_press,Bench Press,chest,triceps|shoulders,push,bench_barbell_flat,Flat (Barbell),barbell
bench_press,Bench Press,chest,triceps|shoulders,push,bench_barbell_incline,Incline (Barbell),barbell
bench_press,Bench Press,chest,triceps|shoulders,push,bench_barbell_decline,Decline (Barbell),barbell
bench_press,Bench Press,chest,triceps|shoulders,push,bench_barbell_close_grip,Close Grip (Barbell),barbell
bench_press,Bench Press,chest,triceps|shoulders,push,bench_barbell_pause,Pause (Barbell),barbell
bench_press,Bench Press,chest,triceps|shoulders,push,bench_barbell_bands,With Bands (Barbell),barbell|band
bench_press,Bench Press,chest,triceps|shoulders,push,bench_barbell_guillotine,Guillotine (Barbell),barbell
bench_press,Bench Press,chest,triceps|shoulders,push,bench_dumbbell_flat,Flat (Dumbbell),dumbbell
bench_press,Bench Press,chest,triceps|shoulders,push,bench_dumbbell_incline,Incline (Dumbbell),dumbbell
bench_press,Bench Press,chest,triceps|shoulders,push,bench_dumbbell_decline,Decline (Dumbbell),dumbbell
bench_press,Bench Press,chest,triceps|shoulders,push,bench_dumbbell_single_arm,Single Arm (Dumbbell),dumbbell
bench_press,Bench Press,chest,triceps|shoulders,push,bench_cable,Cable,cable
bench_press,Bench Press,chest,triceps|shoulders,push,bench_dumbbell_isometric,Isometric (Dumbbell),dumbbell
bench_press,Bench Press,chest,triceps|shoulders,push,bench_dumbbell_incline_squeeze,Incline Squeeze Press (Dumbbell),dumbbell
bench_press,Bench Press,chest,triceps|shoulders,push,bench_dumbbell_hex,Hex Press (Dumbbell),dumbbell
bench_press,Bench Press,chest,triceps|shoulders,push,bench_landmine_crush,Crush Press (Landmine),landmine
bench_press,Bench Press,chest,triceps|shoulders,push,bench_plate_loaded,Plate-Loaded Machine,machine|plate
chest_fly,Chest Fly,chest,shoulders,isolation,fly_dumbbell_flat,Flat (Dumbbell),dumbbell
chest_fly,Chest Fly,chest,shoulders,isolation,fly_dumbbell_incline,Incline (Dumbbell),dumbbell
chest_fly,Chest Fly,chest,shoulders,isolation,fly_dumbbell_decline,Decline (Dumbbell),dumbbell
chest_fly,Chest Fly,chest,shoulders,isolation,fly_cable_crossover,Cable Crossover,cable
chest_fly,Chest Fly,chest,shoulders,isolation,fly_cable_low,Low Cable Crossover,cable
chest_fly,Chest Fly,chest,shoulders,isolation,fly_cable_seated,Seated Cable,cable
chest_fly,Chest Fly,chest,shoulders,isolation,fly_machine_pec_deck,Pec Deck Machine,machine
chest_fly,Chest Fly,chest,shoulders,isolation,fly_machine,Machine,machine
chest_fly,Chest Fly,chest,shoulders,isolation,fly_band_flat,Flat (Band),band
chest_fly,Chest Fly,chest,shoulders,isolation,fly_band_incline,Incline (Band),band
chest_fly,Chest Fly,chest,shoulders,isolation,fly_band_decline,Decline (Band),band
chest_fly,Chest Fly,chest,shoulders,isolation,fly_dumbbell_partial_bottom,Partial Bottom Range (Dumbbell),dumbbell
chest_fly,Chest Fly,chest,shoulders,isolation,fly_cable_single_arm,Single Arm Cable,cable
